UID,Barcode,SPC,Department Code,Department,Sub-department Code,Sub Department,Brand Code,Brand,Style Code,Colour Code,Colour Name,Size Scale,Size,Description,BTC Price,VAT Code,Pack Quantity,Carton Quantity,Last Changed Date,Stock Status,colour_code_url,image_url_medium_res,image_url_low_res,image_url_high_res,brand image,colour image 01,colour image 02,colour image 03,colour image 04,colour image 05,colour image 06,colour image 07,colour image 08,colour image 09,colour image 10,bullet points,Customer Discounted Price
77888,778398,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,254,Antique Sapphire,12,2XL,Heavy Blend? Adult Hooded Sweatshirt,8.79,1,6,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-254.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176522.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",6.72
137558,1374650,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,254,Antique Sapphire,12,3XL,Heavy Blend? Adult Hooded Sweatshirt,12.12,1,12,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-254.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176522.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",9.27
58351,583435,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,393,Ash Grey,12,S,Heavy Blend? Adult Hooded Sweatshirt,8.79,1,6,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-393.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176524.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",6.72
58352,583442,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,393,Ash Grey,12,M,Heavy Blend? Adult Hooded Sweatshirt,8.79,1,6,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-393.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176524.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",6.72
58353,583459,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,393,Ash Grey,12,L,Heavy Blend? Adult Hooded Sweatshirt,8.79,1,6,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-393.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176524.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",6.72
58354,583466,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,393,Ash Grey,12,XL,Heavy Blend? Adult Hooded Sweatshirt,8.79,1,6,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-393.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176524.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",6.72
58355,583473,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,393,Ash Grey,12,2XL,Heavy Blend? Adult Hooded Sweatshirt,8.79,1,6,24,01-01-2026 1:50,C,https://myebrochure.co.uk/images/colours/gildan/gildan-393.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176524.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",6.72
137582,1374896,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,393,Ash Grey,12,3XL,Heavy Blend? Adult Hooded Sweatshirt,12.12,1,12,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-393.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176524.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",9.27
170938,1708462,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,71,Azalea,12,S,Heavy Blend? Adult Hooded Sweatshirt,8.79,1,6,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-71.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176498.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",6.72
170939,1708479,18500,SSHIRT,SWEATSHIRTS AND HOODIES,MENSSH,Mens Sweatshirts & Hoodies,GILDAN,Gildan,760062,71,Azalea,12,M,Heavy Blend? Adult Hooded Sweatshirt,8.79,1,6,24,31-12-2025 23:45,C,https://myebrochure.co.uk/images/colours/gildan/gildan-71.jpg,https://myebrochure.co.uk/images/products/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.small/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_184580.jpg,https://myebrochure.co.uk/images/brands/gildan_25.png,https://myebrochure.co.uk/images/products.hires/prod_29009_18500_176498.jpg,,,,,,,,,,"<li>24/1 MVS Yarn</li> <li>The Heavy Blend collection is now made with finer yarns and new MVS Air spinning technology, that improves the fabric by reducing pilling, enhancing durability and creating a smoother printing surface.</li> <li>Proud member of the US Cotton Trust Protocol (USCTP) and Better Cotton&#8482;</li> <li>Cotton products from Gildan support more sustainable + ethical cotton farming</li> <li>2-end midweight fleece fabric</li> <li>Double-lined hood with color-matched drawcord </li> <li>Pouch pocket</li> <li>1 x 1 rib with spandex for enhanced stretch and recovery</li> <li>Classic fit, tubular body</li> <li>High-performing tear-away label</li> <li><b>Also available in childrens sizes code 18500B</b></li>",6.72
