UID,Barcode,SPC,Department Code,Department,Sub-department Code,Sub Department,Brand Code,Brand,Style Code,Colour Code,Colour Name,Size Scale,Size,Description,BTC Price,VAT Code,Pack Quantity,Carton Quantity,Last Changed Date,Stock Status,colour_code_url,image_url_medium_res,image_url_low_res,image_url_high_res,brand image,colour image 01,colour image 02,colour image 03,colour image 04,colour image 05,colour image 06,colour image 07,colour image 08,colour image 09,colour image 10,bullet points,Commodity Code,Origin
158304,0000001582093,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,REWH,Red/White,0001  ,3XL,Men's Valueweight Ringer T,3.89,1,12,36,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-rewh.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141924.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141923.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141925.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166571.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
158303,0000001582086,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,RBWH,Royal/White,0001  ,3XL,Men's Valueweight Ringer T,3.89,1,12,36,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-rbwh.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141918.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141917.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141919.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166569.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
158305,0000001582109,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,SUN47,Sunflower/Kelly Green,0001  ,3XL,Men's Valueweight Ringer T,3.89,1,12,36,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-sun47.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141912.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141911.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141913.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166567.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
158306,0000001582116,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,WHBK,White/Black,0001  ,3XL,Men's Valueweight Ringer T,3.89,1,12,36,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-whbk.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141927.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141926.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141928.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166572.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
158308,0000001582130,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,ZA,White/Navy,0001  ,3XL,Men's Valueweight Ringer T,3.89,1,12,36,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-za.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141933.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141932.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141934.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166574.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
158307,0000001582123,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,WHRE,White/Red,0001  ,3XL,Men's Valueweight Ringer T,3.89,1,12,36,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-whre.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141930.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141929.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141931.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166573.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
158297,0000001582024,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,AW,White/Royal Blue,0001  ,3XL,Men's Valueweight Ringer T,3.89,1,12,36,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-aw.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141915.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141914.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141916.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166568.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
15000,0000000150002,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,BKWH,Black/White,0001  ,Large,Men's Valueweight Ringer T,3.03,1,12,72,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-bkwh.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141921.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141920.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141922.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166570.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
14990,0000000149907,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,NYWH,Navy/White,0001  ,Large,Men's Valueweight Ringer T,3.03,1,12,72,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-nywh.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141909.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141908.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141910.jpg,,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
15025,0000000150255,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,REWH,Red/White,0001  ,Large,Men's Valueweight Ringer T,3.03,1,12,72,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-rewh.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141924.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141923.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141925.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166571.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
15010,0000000150101,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,RBWH,Royal/White,0001  ,Large,Men's Valueweight Ringer T,3.03,1,12,72,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-rbwh.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141918.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141917.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141919.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166569.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
56310,0000000562980,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,SUN47,Sunflower/Kelly Green,0001  ,Large,Men's Valueweight Ringer T,3.03,1,12,72,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-sun47.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141912.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141911.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141913.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166567.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
15020,0000000150200,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,WHBK,White/Black,0001  ,Large,Men's Valueweight Ringer T,3.03,1,12,72,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-whbk.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141927.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141926.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141928.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166572.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
137920,0000001378276,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,ZA,White/Navy,0001  ,Large,Men's Valueweight Ringer T,3.03,1,12,72,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-za.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141933.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141932.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141934.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166574.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
15005,0000000150057,61168,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,MS0040,WHRE,White/Red,0001  ,Large,Men's Valueweight Ringer T,3.03,1,12,72,08/04/2026 09:04:12,C,https://myebrochure.co.uk/images/colours/fotl/fotl-whre.jpg,https://myebrochure.co.uk/images/products/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.small/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166566.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61168_141930.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141929.jpg,https://myebrochure.co.uk/images/products.hires/prod_61168_141931.jpg,https://myebrochure.co.uk/images/products.hires/prod_16101_61168_166573.jpg,,,,,,,<li>Contrast colour crew neck with Cotton/LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Fine knit gauge for enhanced printability</li>,61091000,MA
